,name,rating,cost,address,cuisine,review
15,Finn’s Manor,null,2,"
2927 Larimer St
Denver, CO 80205
",Five Points,"If you have a large group, round them up at Finn’s. It’s basically one big covered patio filled with food trucks (you’ll find BBQ, Filipino, Jamaican, steamed buns, and ice cream). And just off the main patio, there’s a cajun-themed cocktail bar where the group can kill time playing card games with a ridiculous amount of whiskey."
16,Ale House at Amato’s,null,2,"
2501 16th St
Denver, CO 80211
(303) 433-9734
",Bar Food,"The Ale House has been the unofficial drinking hub in LoHi for quite some time, and for good reason.The patio up top also provides a nice view of the Denver cityscape, while the patio downstairs provides nice people watching. There’s also a full menu of typical but solid bar food that we endorse."
17,Historians Ale House,null,2,"
24 Broadway
Denver, CO 80203
(720) 479-8505
",Bar Food,"According to the website, Historians is all about giving you “a unique Colorado experience,” which apparently means they have a ton of locally-brewed beers and a menu with a lot of locally-sourced ingredients. The patio up top has great mountain views and big tables for larger groups, and the happy hour includes half-off bottles of wine on Wednesdays. If you can’t make it after work, late-night drinks or big group brunches are also a good move here."
18,Highland Tap and Burger,null,2,"
2219 W 32nd Ave
Denver, CO 80211
(720) 287-4493
",Bar Food,"Highland Tap is one of the best spots in town no matter the time of day (or night) for drinks and some food. The burger is great, the waits are never too long, and the front patio makes for great people watching. Get a side of the kids mac and cheese (trust us when we tell you it’s way better than the regular version), and watch the K-State folks in the bar area get rowdy when the Wildcats play."
19,Highland Tavern,null,1,"
3400 Navajo St
Denver, CO 80211
(303) 433-1990
",Bar Food,"The Tavern has a weird 80’s hair band nostalgia-meets-Vegas sports bar vibe, and it turns out that Poison and baseball blend together really well. It also doesn’t hurt that the Tavern has some of the best bar food in town. Get some tater tots, head to the large covered patio upstairs, and plan to stay a while. If you can’t be at Coors Field for a Rockies game, watching it here is your next best option."
20,Whiskey Tango Foxtrot,null,2,"
2907 Huron St #106
Denver, CO 80202
(303) 226-1540
",American,"WTF is the perfect example of why you shouldn’t judge a book by its cover. It’s true that it’s mainly a spot for the bottomless brunch crowd, but the Southern food is worth putting up with having to hear about how the people around you “crushed it last night, bro.” Also, the best time to be here isn’t on the weekends - it’s after work on a weekday. The covered rooftop patio also has a good amount of space, and a great view of the downtown skyline."
21,Local 46,null,2,"
4586 Tennyson St
Denver, CO 80212
(720) 524-3792
",Bar Food,"Local 46 is a few minutes from the more popular part of Tennyson St., but it’s worth the trip, and a great way to avoid the crowds in that area. It’s a laid-back beer drinking type of place, so bring your low-key friends for a big group hang. The wide-open patio out back has a ton of seating, ping pong, and an outdoor food hut that occasionally serves burgers and excellent sausage plates (usually weekends and evenings). And if you’re here in the summer, there’s a good chance you’ll see some live music."
22,Avanti,null,2,"
3200 Pecos St
Denver, CO 80211
(720) 269-4778
",LoHi,"This market-style food court sits just west of the city in the Lower Highlands, and it’s best utilized as the rendezvous point for your crew in the afternoon or early evening, before heading out on the town for a big night. While the food is simply decent (the arepas are your best bet) and a bit overpriced, the rooftop bar is huge and has some of the best views in town, and the multiple bar areas mean you’ll never have to wait too long for a drink."
23,Postino,null,2,"
2715 17th St
Denver, CO 80211
(303) 433-6363
",Wine Bar,"Postino is a nice (but not stuffy) wine bar with a ton of affordable options (the daily happy hour is $5 glasses). The patio out back has a good amount of space, and as far as food goes, we like the bruschetta to snack on (and even out your wine consumption). This is a good spot for girls’ night out."
24,Briar Commons Brewery,null,2,"
2298 N Clay St
Denver, CO 80211
",Bar Food,"Briar Commons is a brewery/restaurant type of place, and it’s a great spot for a guys night or day drinking outing. The food is decent, but you’re really here for the brewed-on-site beer. And the roof deck that looks over Jefferson Park. If you do get hungry while taking in the views, go for the burger."
25,El Five,null,3,"
 2930 Umatilla, Fifth Floor
Denver, CO 80218
303.524.9193
",Spanish,"Five floors up in the Lower Highlands, El Five’s patio has a beautiful panorama view of the downtown skyline and a tapas and cocktail menu that’s just as good as the sights. The Mediterranean food is a bit pricey, but it’s definitely worth the splurge for a nice night out. Make sure to get the shawarma spiced lamb ribs, and if the patio tables are full, a seat at the bar has the same views and faster drinks service."
26,The Monkey Barrel,null,1,"
4401 Tejon St
Denver, Colorado 80211
720-638-3655
",Sandwiches,"One of Denver’s favorite Italian delis is back and running the shop out of the Monkey Barrel bar in Sunnyside. The old school bodega vibe has been switched out for old school band posters, but the menu is the same. We like it best for lunch, but it’s open until 2am to satisfy your late night needs too. The meatball and the italian sausage subs are our favorites, and you can play mario kart in the back booths while you wait for them to come out."
27,Brider,null,1,"
1644 Platte St
Denver, CO 80202
",American,"Brider is our favorite upscale fast-casual spot for lunch in the city- fast-casual because you order at the counter, upscale because the food is restaurant-quality. There’s a fresh rotisserie chicken right behind the checkout counter, sweet potato and avocado salads, porchetta and kimchi sandwiches, rotating pizza options daily, and freshly baked pastries to finish off the meal. If you want to stay awhile, there’s also a full bar with a good happy hour deal. The only downside is that the parking situation isn’t great, so plan accordingly."
28,Masterpiece Delicatessen,null,1,"
1575 Central St
Denver, CO 80211
(303) 561-3354
",Sandwiches,"Every city needs a go-to sandwich shop, and Masterpiece is Denver’s best. There are a few around town, but we usually find ourselves at the LoHi location. The menu doesn’t have a lot of items you haven’t seen before, but they do a good job of making the classics a little more interesting - the ham and cheese comes on a thyme baguette with some crunch to it. The veggie is also the best in town. Get it and head over the pedestrian bridge for a picnic in Confluence Park."
29,Salt & Grinder,null,1,"
3609 W 32nd Ave
Denver, CO 80211
",Sandwiches,"Salt & Grinder is our favorite sandwich shop to hit when you have some time to kill (because finishing an entire meal here will take some dedication). The menu has Italian classics like meatball and chicken parm, but also salads, soup, and breakfast options. Post up on the patio with The Frankie and a beer and do some people watching."
30,Pizzeria Locale,null,1,"
3484 W 32nd Ave
Denver, CO 80211
",Pizza,"This is a fast-casual pizzeria from the people at Frasca, which alone is enough to get people in the door. But the pizza here is what keeps everyone coming back. They’re Neapolitan style, and the fresh, chewy dough and excellent toppings make them a serious contender for best thin crust in town. They also come out in under 5 minutes, so they’re a great move for a quick lunch or dinner."
31,Bones,null,2,"
701 Grant St
Denver, CO 80203
(303) 860-2929
",Japanese,"Bones has a small but reliable Asian fusion menu, with things like duck confit steamed buns and braised pork udon. The patio and the open kitchen make it a surprisingly great place for a date - if your date doesn’t mind watching you stuff your face with escargot pot stickers and bone marrow. (If your date does mind, you maybe should not be dating.) We also like it as a mid-week lunch spot if you work around Governors Park."
32,Denver Central Market,null,2,"
2669 Larimer St.
Denver, Colorado 80205
",River North,"This food hall sits right in the middle of the Rino neighborhood, and has a nice variety of stuff to choose from (pizza, sandwiches, seafood, sandwiches, and ice cream, to name a few), as well a full bar with plenty of seating. It’s a nice spot to grab a drink and snack and hang around for a bit during the day. The price points are a little higher than similar markets around town (Avanti, Stanley Market), but it’s a great option if you’re around the arts district."
33,Royal Rooster,null,2,"
3316 Tejon St
Denver, CO 80211
720.420.0622
",Burgers,"Old Major is no secret, but we like it best on weekdays during lunch when the patio and bar areas transform into Royal Rooster. From 11am-3pm, Rooster sets up shop with a limited but excellent menu of sandwiches (seven options total). The semi-hidden Lower Highlands spot is one of Denver’s best under the radar options, and while the chicken sandwiches are excellent, the burger is our favorite in the city."
34,Woodgrain Bagels,null,1,"
2525 Arapahoe Avenue
Boulder, Colorado 80302
",Bagels,"If you don’t know about Montreal-style bagels (we didn’t either), let Woodgrain be your introduction. Compared to ones you’d find in New York, these are sweeter and more dense. We think it has something to do with being boiled and then wood-fired, but we’re more concerned with how excellent of a sandwich they make. Go for the breakfast bacon, egg, and cheese on a poppyseed or everything."
35,The Pig & The Sprout,null,2,"
1900 Chestnut Pl
Denver, CO 80202
(720) 535-9719
",American,"A casual new spot near Coors Field downtown, The Pig & Sprout has a wide open bar space and solid American food. It’s mostly what you’d expect from an upscale sports bar, except there are some twists - namely, half the menu’s focus on vegetarian plates. We’ve been impressed with most things on the menu, but the pork tacos are our go-to."
36,Sloan’s Lake Tap & Burger,null,2,"
1565 Raleigh St
Denver, CO 80204
",Bar Food,"Sister to the popular Lower Highlands Tap & Burger, Sloan’s has a more refined vibe, but still serves the same pub-style menu you’ve come to love from the original. If the Tap & Burger locations were a mullet, this one would be the business in front - use it for lunch meetings and other situations requiring a little more polish. This is an excellent, kind of upscale brewpub that also serves as a great late-afternoon spot to catch a game on TV (after the business crowd has moved on)."
37,The Post Chicken And Beer,null,2,"
2200 S Broadway
Denver, CO 80210
",Southern,"The Post is everything Cracker Barrel wants to be - homey country feels, southern charm, and delicious, gravy-soaked comfort food. Only instead of a kitschy gift shop, golf tee triangle games, and terrible food, The Post is actually a place you want to hang out - especially because they also have a brewery on the premises. Best for large groups and lazy afternoons, and home of some of the best family-style fried chicken in Denver."
38,Quality Italian,null,4,"
241 Columbine St.
Denver, CO 80206
",Italian,"A recent transplant from NYC, this is Denver’s newest steakhouse and one of the more hyped special occasion restaurants in town. The upscale setup involves some gimmicks (black-tie-wearing staff, tableside steak preparation), and a high-priced menu. All of which might give you pause, but once the meats and pastas start to roll out, all concerns will fade away. Everything here is top notch, and very much worth your time and money. They serve lunch, but big group throw-down dinners are what you want to use this place for."
39,Fish N Beer,null,3,"
3510 Larimer St
Denver, CO 80205
303.248.3497
",Seafood,"A newer RiNo spot serving a small but solid menu of fresh seafood and (you guessed it) beer. All the food here is worth your time - especially the grilled oyster plates and the blowfish basket. The main entree options are good but pricey, and make for a nice solo dinner or date night. However, we like this place best for the smaller plates and early afternoon happy hours. Especially on weekdays when tables are easy to come by without need for reservations."
40,Saigon Bowl,null,1,"
333 S Federal Blvd Unit 134
Denver, CO 80219
(303) 935-2427
",Vietnamese,"Saigon has been a South Federal staple forever, and the food here never misses a beat. We especially like the vegetarian options when we’re looking to act a little healthier during the winter months. The vegetarian pho here is the best in Denver."
41,Avelina,null,3,"
1550 17th St
Denver, CO 80202
720.904.6711
",American,"Conveniently located in one of the busier downtown areas, Avelina is a new fine dining dinner spot, but we like it best for classier work lunches, or post-work cocktails. Stick with the salad menu if you’re doing lunch (warm artichoke and baby kale are the best), and definitely look to grab seats at the bar."
42,Dio Mio,null,2,"
3264 Larimer St
Denver, CO 80205
(303) 562-1965
",Italian,"Dio Mio is pairing a fast-casual atmosphere with fresh, homemade pastas. Seems like a fun idea, and we like the relaxed order-at-the-counter setup. But the food just isn’t quite up to par with other fresh pasta shops around town. We’re hoping that has more to do with the newness of this place, but as it is right now, Dio Mio is best for quick apps (especially the fried mozzarella) and a glass of wine after work - not the full dinner play."
43,Rush Bowls,null,2,"
1665 Central St.
Denver, CO 80211
(720) 287-2844
",American,"A quick acai bowl to-go on your way to work in the morning is never a bad idea, and Rush Bowls is best place to grab said bowls in Denver. With a good mix of options, we’re guessing you won’t have a problem finding a few favorites."
44,The Plimoth,null,3,"
2335 E 28th Ave
Denver, CO 80205
(303) 297-1215
",American,"We do our best to avoid superlatives when talking about restaurants. But in the case of The Plimoth, we're going to go ahead and throw caution to the wind - it's the absolute best date night spot in Denver. Hype around this place may have died down since opening a few years ago, but if you're in need of a special place to take someone special (even if that someone is you), set your course here. 
The Plimoth is a quaint neighborhood spot with an intimate setting, both in actual size and vibes. The cracker jack box dining room keeps the tables close, enough so you might become friends with your neighbors, but you won't be bothered by it. Especially after the food and wine starts to roll out. 
The menu leans toward the heavier side of things, so be ready to eat stuff like sweet potato pierogies, pork rillette, and cracklin' chicken - which might all sound simple, but the flavors are nuts. If at this point you're thinking that this kind of rich food isn't ideal for a first date, you're probably right. Which is why you should consider coming here with someone who's seen you take down a plate of food before. And still likes you.
There's an elegance to The Plimoth, but zero pretension. And regardless of the occasion, dinner here always feels special. Just remember that we're only responsible for making the perfect date night restaurant recommendation. The rest is on you."
45,Spuntino,null,3,"
2639 W 32nd Ave
Denver, CO 80211
(303) 433-0949
",Italian,"The more things change, the more they stay the same. Never was a phrase more relevant to a restaurant as that one is to Spuntino. We've gotten very familiar with this place, and have come to rely on two things about it: we always know we're going to be surprised with something new, and not surprised when we love it. Does that mean Spuntino is predictable? Absolutely. But in the best way possible. The restaurant is so consistently good, we always walk in expecting great things. And so far, those expectations have been met every single time.
Their menu changes with the season, but it's generally full of handmade, simple noodle dishes - we've had meaty bolognese plates that fill us up after three bites, and we've also had light, broth-based specials that taste so good we order two. Add in their small but strong wine list, and Spuntino is the perfect choice for special occasions. Especially date night, or if you’re looking to celebrate something with a small group.
The corner space located in the Lower Highlands is exactly the kind of quaint spot everyone wants in their neighborhood. It's an especially great early-evening move, as after dinner you can head down the street a few blocks to the more happening section of LoHi to grab some drinks or just walk off all the carbs you just stuffed down your gullet.
One other unexpected thing we've come to expect: Spuntino is somehow usually pretty easy to get into. We're always baffled by this, as you'd assume a place this good would be consistently packed. But we're selfishly happy it's remained largely a secret. Here's hoping that's just one more part of Spuntino that stays the same."
46,Coperta,null,3,"
Coperta, 400 E 20th Ave.
Denver, CO 80203
3037368400
",Italian,"Coperta is one of Denver’s best new pasta spots, with a menu full of plates designed to share. The setting is pretty lively, so we recommend going with a bigger group. Plus you’ll have a good reason to order a ton and try as much as possible. And if you can score spots at the Mozzarella bar, all the better."
47,High Point Creamery,null,2,"
2669 Larimer St.
Denver, CO 80205
",Dessert,"An artisanal ice cream shop with a nice mix of sweet, savory, and sometimes experimental flavors. They’ve got everything from Salted Caramel to Tin Cup Whiskey with Pistachio Brittle. Located in the new Central Marketplace, High Point is a people watching mecca. They also serve ice cream flights (as if you needed another excuse to go)."
48,Buchi Cafe Cubano,null,1,"
2651 W 38th Ave
Denver, CO 80211
(303) 458-1328
",Sandwiches,"Buchi is a Cuban coffee and sandwich cafe perfect for spending a few hours either working or relaxing. We prefer the big patio out front during the warmer months, but the inside is spacious as well, and works great for offsite meetings. There’s also a full bar inside to celebrate any work you get done between the cortaditos and spicy aye conyos."
49,Roo Bar,null,1,"
3480 Park Ave W
Denver, CO 80216
(303) 455-8700
",American,"Roo Bar is a divey sports bar that sits under an interstate off-ramp. It also has some of the best wings in the city. We aren’t sure what goes into their “crack sauce,” but we don’t really care because it’s delicious."
50,The Crawling Crab,null,2,"
763 S Federal Blvd
Denver, CO 80219
",Seafood,"Just because we live in the middle of the country doesn't mean we can't get good shellfish, and that's all The Crawling Crab wants to give you. This place looks gimmicky upon first glance, but once you start cracking shells and sucking crawfish heads, you'll be pleased. There's a nice mix of king, snow, dungeness, and blue crab, full-bodied shrimp, and when in season, crawfish. It's all dumped on your table Louisiana-style with sausage and potatoes to boot. Get ready to dive in."
51,Axios,null,2,"
3901 Tennyson St
Denver, CO 80212
(720) 328-2225
",Greek,"We love Axios when we’re in the mood for a change of pace and a heavy dose of hospitality. The food is fresh, and the menu sticks to traditional Greek favorites. We’re big fans of the Gyros, Saganaki, Spanakopita, and especially the service. The waitstaff here is always happy to see you."
52,Tokio,null,2,"
2907 Huron St
Denver, CO 80202
(720) 639-2911
",Japanese,"Offering hearty ramen bowls, sushi, and a wide variety of appetizers and Japanese BBQ items, Tokio is simultaneously perfect for solo meals and late night group meetups alike. As one of the only downtown area restaurants open late during the week (till 1am Monday-Thursday), Tokio is a lesser-known Infatuation favorite for Japanese. The sushi bar can almost always accommodate you if you’re dining solo, and the charcoal grilled small plates menu is sure to help ease the hangover you’ll have at work the next day."
53,Lao Wang Noodle House,null,1,"
945 S Federal Blvd
Denver, CO 80219
(303) 975-2497
",Chinese,"This is one of the best hole in the walls, and arguably the best place for dumplings, in Denver. Service will be on the slower side, and your server will likely be a little grumpy, but it's all worth it for the great potstickers, bao buns, or any of the noodle bowls. The Beef Noodle Soup here is basically a nap in a bowl."
54,Vital Root,null,2,"
3915 Tennyson St
Denver, CO 80212
(303) 474-4131
",Vegetarian,"Everyone has a vegan or vegetarian friend, and they deserve good food too, even if they do choose to deny it to themselves 90% of the time. Vital Root is currently holding court as the chief roughage shop in town, for meat-free people and meat lovers alike."
55,Sushi Den,null,4,"
1487 S Pearl St
Denver, CO 80210
(303) 777-0826
",Japanese,"Sushi Den has the best raw fish in the city. As one of the very first sushi bars in the United States to buy directly from markets in Japan, you won’t find fresher fish, or a fresher atmosphere. A seat at the sushi bar overseeing the knife work and roll prep is as entertaining as it is delicious. And the omakase play here is a must-do at least once, especially if you live in Denver."
56,Vert Kitchen,null,2,"
704 S Pearl St
Denver, CO 80209
(303) 997-5941
",American,"As one of Denver’s early farm-to-table spots, Vert has been able to not only survive, but thrive despite the massive influx of similar restaurants around town. The menu has fewer than ten items, but they’re all good. Great grab-and-go for lunch, and small group brunches here can’t be beat. Plus the South Pearl St. location gives you a great post-meal workout option, via window shopping. The salted caramel cookie is a must."
57,Mister Tuna,null,3,"
3033 Brighton Blvd
Denver, CO 80216
(303) 831-8862
",American,"Interesting restaurant name and theme tactics have been a thing for as long as we can remember. A weird backstory, off-the-wall design scheme, or cryptic name having nothing to do with the food is fun. We get it. For example, who doesn’t want to eat farm-to-table fusion fare in a converted turn of the century mortuary? But even when checking out a relatively mysterious place for the first time, we still usually know what we’re getting into - except in the case of Mister Tuna.
We had heard no real details, and only a few facts:

The menu and space pays homage to Hawaiian food culture
There’s a pickle bar
There’s a giant mural depicting the Chef’s mom
There are pictures of a pet parrot named Mister Tuna

Turns out not knowing what to expect was a really good thing. Regardless of what they’re trying to do at Mister Tuna (we still aren’t completely sure), we love it. 
The menu is a nice hodgepodge of pretty much everything: shellfish, pasta, pizza, tacos, sashimi...lamb. All of which are priced high, but done really well. The King Crab is one of the best bites in the city right now. The pastas are fresh and rich, and perfect for the colder fall weather. And the sashimi, one of the only things that has any real relevance to the restaurant name,  is excellent. 
The space is trendy, has plenty of flash, and is nothing even remotely close to being reminiscent of Hawaii. But don’t sweat the inconsistencies. All you need to know is that the food and atmosphere at Tuna are well worth the trip, especially for upcoming date nights. Nothing really makes sense, but it doesn’t matter, because it’s all good."
